,ProviderName,TractCode,CountBlocks,Consumer Blocks Served,Consumer Blocks Served - 3mbps,Consumer Blocks Served - 12mbps,Consumer Blocks Served - 25mbps,Proportion Served,Proportion Served 3mbps,Proportion Served 12mbps,Proportion Served 25mbps,Substantially Served,Substantially Served 3mbps,Substantially Served 12mbps,Substantially Served 25mbps,TechCodes Set,Minimally Residential,Water Area,Consumer Service N/A
1243,"COMCAST CABLE COMMUNICATIONS, LLC",47059090100,297,256,256,256,256,86.2,86.2,86.2,86.2,True,True,True,True,"{42, 43}",False,False,False
1244,"CenturyLink, Inc.",47059091100,161,122,118,66,58,75.78,73.29,40.99,36.02,True,True,True,True,"{10, 11, 12}",False,False,False
1245,"BellSouth Telecommunications, Inc.",47059091100,161,25,25,0,0,15.53,15.53,0.0,0.0,False,False,False,False,{70},False,False,False
1246,UNITED STATES CELLULAR CORPORATION,47059091100,161,4,0,0,0,2.48,0.0,0.0,0.0,False,False,False,False,{70},False,False,False
1247,"Net Liquidations, Inc.",47059091100,161,1,1,1,1,0.62,0.62,0.62,0.62,False,False,False,False,{70},False,False,False
1248,"COMCAST CABLE COMMUNICATIONS, LLC",47059091100,161,119,119,119,119,73.91,73.91,73.91,73.91,True,True,True,True,"{42, 43}",False,False,False
1249,"BellSouth Telecommunications, Inc.",47065001400,107,99,99,33,0,92.52,92.52,30.84,0.0,True,True,True,False,"{10, 11}",False,False,False
1250,EPB Fiber Optics,47065001400,107,100,100,100,100,93.46,93.46,93.46,93.46,True,True,True,True,{50},False,False,False
1251,"COMCAST CABLE COMMUNICATIONS, LLC",47065001400,107,92,92,92,92,85.98,85.98,85.98,85.98,True,True,True,True,{43},False,False,False
1252,"BellSouth Telecommunications, Inc.",47065002000,169,107,107,75,18,63.31,63.31,44.38,10.65,True,True,True,False,"{10, 11, 50}",False,False,False
1253,EPB Fiber Optics,47065002000,169,114,114,114,114,67.46,67.46,67.46,67.46,True,True,True,True,{50},False,False,False
1254,"COMCAST CABLE COMMUNICATIONS, LLC",47065002000,169,86,86,86,86,50.89,50.89,50.89,50.89,True,True,True,True,{43},False,False,False
1255,"BellSouth Telecommunications, Inc.",47065002300,105,86,34,4,0,81.9,32.38,3.81,0.0,True,True,False,False,"{10, 11}",False,False,False
1256,EPB Fiber Optics,47065002300,105,98,98,98,98,93.33,93.33,93.33,93.33,True,True,True,True,{50},False,False,False
1257,"COMCAST CABLE COMMUNICATIONS, LLC",47065002300,105,76,76,76,76,72.38,72.38,72.38,72.38,True,True,True,True,{43},False,False,False
1258,"BellSouth Telecommunications, Inc.",47065002500,164,143,75,13,10,87.2,45.73,7.93,6.1,True,True,False,False,"{10, 11, 12}",False,False,False
1259,EPB Fiber Optics,47065002500,164,143,143,143,143,87.2,87.2,87.2,87.2,True,True,True,True,{50},False,False,False
1260,"COMCAST CABLE COMMUNICATIONS, LLC",47065002500,164,137,137,137,137,83.54,83.54,83.54,83.54,True,True,True,True,{43},False,False,False
1261,"BellSouth Telecommunications, Inc.",47065002600,148,129,107,23,0,87.16,72.3,15.54,0.0,True,True,False,False,"{10, 11}",False,False,False
1262,EPB Fiber Optics,47065002600,148,134,134,134,134,90.54,90.54,90.54,90.54,True,True,True,True,{50},False,False,False
1263,"COMCAST CABLE COMMUNICATIONS, LLC",47065002600,148,117,117,117,117,79.05,79.05,79.05,79.05,True,True,True,True,{43},False,False,False
1264,"BellSouth Telecommunications, Inc.",47065003400,77,60,59,54,25,77.92,76.62,70.13,32.47,True,True,True,True,"{10, 11, 12}",False,False,False
1265,EPB Fiber Optics,47065003400,77,65,65,65,65,84.42,84.42,84.42,84.42,True,True,True,True,{50},False,False,False
1266,"COMCAST CABLE COMMUNICATIONS, LLC",47065003400,77,58,58,58,58,75.32,75.32,75.32,75.32,True,True,True,True,{43},False,False,False
1267,"BellSouth Telecommunications, Inc.",47065010431,90,74,74,67,63,82.22,82.22,74.44,70.0,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1268,EPB Fiber Optics,47065010431,90,81,81,81,81,90.0,90.0,90.0,90.0,True,True,True,True,{50},False,False,False
1269,"COMCAST CABLE COMMUNICATIONS, LLC",47065010431,90,78,78,78,78,86.67,86.67,86.67,86.67,True,True,True,True,{43},False,False,False
1270,"BellSouth Telecommunications, Inc.",47065010432,81,61,61,56,56,75.31,75.31,69.14,69.14,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1271,EPB Fiber Optics,47065010432,81,71,71,71,71,87.65,87.65,87.65,87.65,True,True,True,True,{50},False,False,False
1272,"COMCAST CABLE COMMUNICATIONS, LLC",47065010432,81,56,56,56,56,69.14,69.14,69.14,69.14,True,True,True,True,{43},False,False,False
1273,"BellSouth Telecommunications, Inc.",47065010901,48,17,7,6,0,35.42,14.58,12.5,0.0,True,False,False,False,"{10, 11}",False,False,False
1274,America Internet & Communications,47065010901,48,1,1,1,1,2.08,2.08,2.08,2.08,False,False,False,False,{70},False,False,False
1275,EPB Fiber Optics,47065010901,48,40,40,40,40,83.33,83.33,83.33,83.33,True,True,True,True,{50},False,False,False
1276,"COMCAST CABLE COMMUNICATIONS, LLC",47065010901,48,22,22,22,22,45.83,45.83,45.83,45.83,True,True,True,True,{43},False,False,False
1277,"BellSouth Telecommunications, Inc.",47065011002,140,94,91,77,75,67.14,65.0,55.0,53.57,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1278,Bledsoe Telephone Cooperative Inc,47065011002,140,4,4,0,0,2.86,2.86,0.0,0.0,False,False,False,False,{11},False,False,False
1279,EPB Fiber Optics,47065011002,140,131,131,131,131,93.57,93.57,93.57,93.57,True,True,True,True,{50},False,False,False
1280,"COMCAST CABLE COMMUNICATIONS, LLC",47065011002,140,120,120,120,120,85.71,85.71,85.71,85.71,True,True,True,True,{43},False,False,False
1281,"CenturyLink, Inc.",47065011201,160,137,134,86,36,85.62,83.75,53.75,22.5,True,True,True,False,"{10, 50, 11, 12}",False,False,False
1282,"BellSouth Telecommunications, Inc.",47065011201,160,3,3,3,1,1.88,1.88,1.88,0.62,False,False,False,False,"{11, 12}",False,False,False
1283,America Internet & Communications,47065011201,160,1,1,1,1,0.62,0.62,0.62,0.62,False,False,False,False,{70},False,False,False
1284,EPB Fiber Optics,47065011201,160,96,96,96,96,60.0,60.0,60.0,60.0,True,True,True,True,{50},False,False,False
1285,"COMCAST CABLE COMMUNICATIONS, LLC",47065011201,160,120,120,120,120,75.0,75.0,75.0,75.0,True,True,True,True,{43},False,False,False
1286,"Charter Communications, Inc.",47065011201,160,1,1,1,1,0.62,0.62,0.62,0.62,False,False,False,False,{43},False,False,False
1287,"CenturyLink, Inc.",47065011203,60,47,47,16,4,78.33,78.33,26.67,6.67,True,True,False,False,"{50, 11, 12}",False,False,False
1288,"BellSouth Telecommunications, Inc.",47065011203,60,8,8,7,7,13.33,13.33,11.67,11.67,False,False,False,False,"{10, 11, 12, 50}",False,False,False
1289,EPB Fiber Optics,47065011203,60,50,50,50,50,83.33,83.33,83.33,83.33,True,True,True,True,{50},False,False,False
1290,"COMCAST CABLE COMMUNICATIONS, LLC",47065011203,60,47,47,47,47,78.33,78.33,78.33,78.33,True,True,True,True,{43},False,False,False
1291,"BellSouth Telecommunications, Inc.",47065011402,89,85,85,78,73,95.51,95.51,87.64,82.02,True,True,True,True,"{10, 11, 12}",False,False,False
1292,EPB Fiber Optics,47065011402,89,86,86,86,86,96.63,96.63,96.63,96.63,True,True,True,True,{50},False,False,False
1293,"COMCAST CABLE COMMUNICATIONS, LLC",47065011402,89,85,85,85,85,95.51,95.51,95.51,95.51,True,True,True,True,{43},False,False,False
1294,"BellSouth Telecommunications, Inc.",47065011411,65,46,46,44,42,70.77,70.77,67.69,64.62,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1295,America Internet & Communications,47065011411,65,1,1,1,1,1.54,1.54,1.54,1.54,False,False,False,False,{70},False,False,False
1296,EPB Fiber Optics,47065011411,65,62,62,62,62,95.38,95.38,95.38,95.38,True,True,True,True,{50},False,False,False
1297,"COMCAST CABLE COMMUNICATIONS, LLC",47065011411,65,51,51,51,51,78.46,78.46,78.46,78.46,True,True,True,True,{43},False,False,False
1298,"BellSouth Telecommunications, Inc.",47065011443,109,88,88,73,71,80.73,80.73,66.97,65.14,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1299,EPB Fiber Optics,47065011443,109,102,102,102,102,93.58,93.58,93.58,93.58,True,True,True,True,{50},False,False,False
1300,"COMCAST CABLE COMMUNICATIONS, LLC",47065011443,109,89,89,89,89,81.65,81.65,81.65,81.65,True,True,True,True,{43},False,False,False
1301,"BellSouth Telecommunications, Inc.",47065011444,57,52,51,41,40,91.23,89.47,71.93,70.18,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1302,America Internet & Communications,47065011444,57,1,1,1,1,1.75,1.75,1.75,1.75,False,False,False,False,{70},False,False,False
1303,EPB Fiber Optics,47065011444,57,51,51,51,51,89.47,89.47,89.47,89.47,True,True,True,True,{50},False,False,False
1304,"COMCAST CABLE COMMUNICATIONS, LLC",47065011444,57,48,48,48,48,84.21,84.21,84.21,84.21,True,True,True,True,{43},False,False,False
1305,"BellSouth Telecommunications, Inc.",47065011600,130,97,83,42,42,74.62,63.85,32.31,32.31,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1306,EPB Fiber Optics,47065011600,130,106,106,106,106,81.54,81.54,81.54,81.54,True,True,True,True,{50},False,False,False
1307,"COMCAST CABLE COMMUNICATIONS, LLC",47065011600,130,102,102,102,102,78.46,78.46,78.46,78.46,True,True,True,True,{43},False,False,False
1308,"BellSouth Telecommunications, Inc.",47065012300,177,122,119,42,29,68.93,67.23,23.73,16.38,True,True,False,False,"{10, 11, 12, 50}",False,False,False
1309,America Internet & Communications,47065012300,177,1,1,1,1,0.56,0.56,0.56,0.56,False,False,False,False,{70},False,False,False
1310,EPB Fiber Optics,47065012300,177,173,173,173,173,97.74,97.74,97.74,97.74,True,True,True,True,{50},False,False,False
1311,"COMCAST CABLE COMMUNICATIONS, LLC",47065012300,177,152,152,152,152,85.88,85.88,85.88,85.88,True,True,True,True,{43},False,False,False
1312,"BellSouth Telecommunications, Inc.",47065980200,14,5,4,4,4,35.71,28.57,28.57,28.57,True,False,False,False,"{10, 11, 12}",True,False,True
1313,EPB Fiber Optics,47065980200,14,11,11,11,11,78.57,78.57,78.57,78.57,True,True,True,True,{50},True,False,True
1314,"COMCAST CABLE COMMUNICATIONS, LLC",47065980200,14,1,1,1,1,7.14,7.14,7.14,7.14,False,False,False,False,{43},True,False,True
1315,"BellSouth Telecommunications, Inc.",47069950600,208,192,191,51,6,92.31,91.83,24.52,2.88,True,True,False,False,"{10, 11, 70}",False,False,False
1316,Capshaw Enterprises,47069950600,208,20,11,0,0,9.62,5.29,0.0,0.0,False,False,False,False,{70},False,False,False
1317,"COMCAST CABLE COMMUNICATIONS, LLC",47069950600,208,75,75,75,75,36.06,36.06,36.06,36.06,True,True,True,True,{43},False,False,False
1318,"BellSouth Telecommunications, Inc.",47079969200,183,24,24,1,0,13.11,13.11,0.55,0.0,False,False,False,False,"{10, 11, 70}",False,False,False
1319,Peoples Telephone Company,47079969200,183,1,1,0,0,0.55,0.55,0.0,0.0,False,False,False,False,{11},False,False,False
1320,West Kentucky Rural Telephone Coop Corp Inc,47079969200,183,153,153,153,153,83.61,83.61,83.61,83.61,True,True,True,True,{50},False,False,False
1321,BeaDun Communications,47079969200,183,1,0,0,0,0.55,0.0,0.0,0.0,False,False,False,False,{70},False,False,False
1322,Frontier Communications Corporation,47079969200,183,2,2,0,0,1.09,1.09,0.0,0.0,False,False,False,False,"{10, 11}",False,False,False
1323,"COMCAST CABLE COMMUNICATIONS, LLC",47079969200,183,1,1,1,1,0.55,0.55,0.55,0.55,False,False,False,False,{43},False,False,False
1324,"Charter Communications, Inc.",47079969200,183,22,22,22,22,12.02,12.02,12.02,12.02,False,False,False,False,{43},False,False,False
1325,"BellSouth Telecommunications, Inc.",47089070600,247,148,144,110,77,59.92,58.3,44.53,31.17,True,True,True,True,"{70, 10, 11, 12, 50}",False,False,False
1326,UNITED STATES CELLULAR CORPORATION,47089070600,247,3,0,0,0,1.21,0.0,0.0,0.0,False,False,False,False,{70},False,False,False
1327,Ultranet / LogOn,47089070600,247,1,1,0,0,0.4,0.4,0.0,0.0,False,False,False,False,{70},False,False,False
1328,"COMCAST CABLE COMMUNICATIONS, LLC",47089070600,247,2,2,2,2,0.81,0.81,0.81,0.81,False,False,False,False,{42},False,False,False
1329,"Charter Communications, Inc.",47089070600,247,226,226,226,226,91.5,91.5,91.5,91.5,True,True,True,True,{43},False,False,False
1330,"CenturyLink, Inc.",47091956300,339,271,258,156,40,79.94,76.11,46.02,11.8,True,True,True,False,"{11, 12}",False,False,False
1331,"SkyBest Communications, Inc.",47091956300,339,23,23,23,22,6.78,6.78,6.78,6.49,False,False,False,False,"{50, 10}",False,False,False
1332,"COMCAST CABLE COMMUNICATIONS, LLC",47091956300,339,4,4,4,4,1.18,1.18,1.18,1.18,False,False,False,False,{42},False,False,False
1333,"Charter Communications, Inc.",47091956300,339,330,330,330,330,97.35,97.35,97.35,97.35,True,True,True,True,{43},False,False,False
1334,"BellSouth Telecommunications, Inc.",47093000800,85,71,69,55,50,83.53,81.18,64.71,58.82,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1335,UNITED STATES CELLULAR CORPORATION,47093000800,85,83,0,0,0,97.65,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1336,Premier Satellite,47093000800,85,1,1,1,0,1.18,1.18,1.18,0.0,False,False,False,False,{70},False,False,False
1337,"COMCAST CABLE COMMUNICATIONS, LLC",47093000800,85,66,66,66,66,77.65,77.65,77.65,77.65,True,True,True,True,{43},False,False,False
1338,"BellSouth Telecommunications, Inc.",47093001700,92,86,85,72,71,93.48,92.39,78.26,77.17,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1339,UNITED STATES CELLULAR CORPORATION,47093001700,92,73,0,0,0,79.35,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1340,"Knology of Alabama, Inc.",47093001700,92,9,9,9,9,9.78,9.78,9.78,9.78,False,False,False,False,"{42, 50}",False,False,False
1341,"COMCAST CABLE COMMUNICATIONS, LLC",47093001700,92,84,84,84,84,91.3,91.3,91.3,91.3,True,True,True,True,{43},False,False,False
1342,"BellSouth Telecommunications, Inc.",47093001900,57,52,51,39,39,91.23,89.47,68.42,68.42,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1343,UNITED STATES CELLULAR CORPORATION,47093001900,57,44,0,0,0,77.19,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1344,"COMCAST CABLE COMMUNICATIONS, LLC",47093001900,57,48,48,48,48,84.21,84.21,84.21,84.21,True,True,True,True,{43},False,False,False
1345,"BellSouth Telecommunications, Inc.",47093002800,88,77,73,49,47,87.5,82.95,55.68,53.41,True,True,True,True,"{10, 11, 12}",False,False,False
1346,UNITED STATES CELLULAR CORPORATION,47093002800,88,33,0,0,0,37.5,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1347,"Knology of Alabama, Inc.",47093002800,88,3,3,3,3,3.41,3.41,3.41,3.41,False,False,False,False,"{42, 50}",False,False,False
1348,"COMCAST CABLE COMMUNICATIONS, LLC",47093002800,88,80,80,80,80,90.91,90.91,90.91,90.91,True,True,True,True,{43},False,False,False
1349,"BellSouth Telecommunications, Inc.",47093003500,133,89,89,80,76,66.92,66.92,60.15,57.14,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1350,UNITED STATES CELLULAR CORPORATION,47093003500,133,118,0,0,0,88.72,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1351,"COMCAST CABLE COMMUNICATIONS, LLC",47093003500,133,91,91,91,91,68.42,68.42,68.42,68.42,True,True,True,True,{43},False,False,False
1352,"BellSouth Telecommunications, Inc.",47093003700,74,63,63,57,44,85.14,85.14,77.03,59.46,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1353,UNITED STATES CELLULAR CORPORATION,47093003700,74,65,0,0,0,87.84,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1354,"Knology of Alabama, Inc.",47093003700,74,38,38,38,38,51.35,51.35,51.35,51.35,True,True,True,True,"{42, 50}",False,False,False
1355,"COMCAST CABLE COMMUNICATIONS, LLC",47093003700,74,52,52,52,52,70.27,70.27,70.27,70.27,True,True,True,True,{43},False,False,False
1356,"BellSouth Telecommunications, Inc.",47093003801,65,52,51,45,44,80.0,78.46,69.23,67.69,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1357,UNITED STATES CELLULAR CORPORATION,47093003801,65,39,0,0,0,60.0,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1358,"Knology of Alabama, Inc.",47093003801,65,29,29,29,29,44.62,44.62,44.62,44.62,True,True,True,True,"{42, 50}",False,False,False
1359,"COMCAST CABLE COMMUNICATIONS, LLC",47093003801,65,47,47,47,47,72.31,72.31,72.31,72.31,True,True,True,True,{43},False,False,False
1360,"BellSouth Telecommunications, Inc.",47093003802,46,41,41,36,35,89.13,89.13,78.26,76.09,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1361,UNITED STATES CELLULAR CORPORATION,47093003802,46,29,0,0,0,63.04,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1362,"Knology of Alabama, Inc.",47093003802,46,28,28,28,28,60.87,60.87,60.87,60.87,True,True,True,True,"{42, 50}",False,False,False
1363,"COMCAST CABLE COMMUNICATIONS, LLC",47093003802,46,29,29,29,29,63.04,63.04,63.04,63.04,True,True,True,True,{43},False,False,False
1364,"BellSouth Telecommunications, Inc.",47093004403,93,91,91,90,78,97.85,97.85,96.77,83.87,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1365,UNITED STATES CELLULAR CORPORATION,47093004403,93,41,0,0,0,44.09,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1366,"Knology of Alabama, Inc.",47093004403,93,60,60,60,60,64.52,64.52,64.52,64.52,True,True,True,True,"{42, 50}",False,False,False
1367,"COMCAST CABLE COMMUNICATIONS, LLC",47093004403,93,85,85,85,85,91.4,91.4,91.4,91.4,True,True,True,True,{43},False,False,False
1368,"BellSouth Telecommunications, Inc.",47093004610,59,50,50,39,37,84.75,84.75,66.1,62.71,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1369,UNITED STATES CELLULAR CORPORATION,47093004610,59,38,0,0,0,64.41,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1370,"Knology of Alabama, Inc.",47093004610,59,22,22,22,22,37.29,37.29,37.29,37.29,True,True,True,True,"{42, 50}",False,False,False
1371,"COMCAST CABLE COMMUNICATIONS, LLC",47093004610,59,40,40,40,40,67.8,67.8,67.8,67.8,True,True,True,True,{43},False,False,False
1372,"BellSouth Telecommunications, Inc.",47093004615,33,32,31,31,31,96.97,93.94,93.94,93.94,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1373,UNITED STATES CELLULAR CORPORATION,47093004615,33,25,0,0,0,75.76,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1374,"Knology of Alabama, Inc.",47093004615,33,25,25,25,25,75.76,75.76,75.76,75.76,True,True,True,True,"{42, 50}",False,False,False
1375,"COMCAST CABLE COMMUNICATIONS, LLC",47093004615,33,26,26,26,26,78.79,78.79,78.79,78.79,True,True,True,True,{43},False,False,False
1376,"BellSouth Telecommunications, Inc.",47093004700,79,61,61,61,61,77.22,77.22,77.22,77.22,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1377,UNITED STATES CELLULAR CORPORATION,47093004700,79,42,0,0,0,53.16,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1378,"Knology of Alabama, Inc.",47093004700,79,58,58,58,58,73.42,73.42,73.42,73.42,True,True,True,True,"{42, 50}",False,False,False
1379,Frontier Communications Corporation,47093004700,79,1,1,1,0,1.27,1.27,1.27,0.0,False,False,False,False,"{10, 11, 12}",False,False,False
1380,"COMCAST CABLE COMMUNICATIONS, LLC",47093004700,79,64,64,64,64,81.01,81.01,81.01,81.01,True,True,True,True,{43},False,False,False
1381,"BellSouth Telecommunications, Inc.",47093005401,122,98,98,64,61,80.33,80.33,52.46,50.0,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1382,UNITED STATES CELLULAR CORPORATION,47093005401,122,102,0,0,0,83.61,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1383,"COMCAST CABLE COMMUNICATIONS, LLC",47093005401,122,62,62,62,62,50.82,50.82,50.82,50.82,True,True,True,True,{43},False,False,False
1384,"BellSouth Telecommunications, Inc.",47093005603,81,67,63,60,56,82.72,77.78,74.07,69.14,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1385,UNITED STATES CELLULAR CORPORATION,47093005603,81,30,0,0,0,37.04,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1386,"Net Liquidations, Inc.",47093005603,81,56,56,56,56,69.14,69.14,69.14,69.14,True,True,True,True,{70},False,False,False
1387,"COMCAST CABLE COMMUNICATIONS, LLC",47093005603,81,74,74,74,74,91.36,91.36,91.36,91.36,True,True,True,True,{43},False,False,False
1388,TDS TELECOMMUNICATIONS LLC,47093005803,78,48,48,48,45,61.54,61.54,61.54,57.69,True,True,True,True,"{10, 50, 11, 12}",False,False,False
1389,"BellSouth Telecommunications, Inc.",47093005803,78,14,14,11,11,17.95,17.95,14.1,14.1,False,False,False,False,"{10, 11, 12, 50}",False,False,False
1390,UNITED STATES CELLULAR CORPORATION,47093005803,78,8,0,0,0,10.26,0.0,0.0,0.0,False,False,False,False,{70},False,False,False
1391,"Knology of Alabama, Inc.",47093005803,78,4,4,4,4,5.13,5.13,5.13,5.13,False,False,False,False,{50},False,False,False
1392,"COMCAST CABLE COMMUNICATIONS, LLC",47093005803,78,15,15,15,15,19.23,19.23,19.23,19.23,False,False,False,False,{43},False,False,False
1393,"Charter Communications, Inc.",47093005803,78,78,78,78,78,100.0,100.0,100.0,100.0,True,True,True,True,{43},False,False,False
1394,TDS TELECOMMUNICATIONS LLC,47093005808,81,60,60,60,60,74.07,74.07,74.07,74.07,True,True,True,True,"{50, 11, 12}",False,False,False
1395,UNITED STATES CELLULAR CORPORATION,47093005808,81,69,0,0,0,85.19,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1396,"COMCAST CABLE COMMUNICATIONS, LLC",47093005808,81,2,2,2,2,2.47,2.47,2.47,2.47,False,False,False,False,{43},False,False,False
1397,"Charter Communications, Inc.",47093005808,81,80,80,80,80,98.77,98.77,98.77,98.77,True,True,True,True,{43},False,False,False
1398,TDS TELECOMMUNICATIONS LLC,47093005813,81,59,59,59,59,72.84,72.84,72.84,72.84,True,True,True,True,"{11, 50, 10, 12}",False,False,False
1399,UNITED STATES CELLULAR CORPORATION,47093005813,81,72,0,0,0,88.89,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1400,"COMCAST CABLE COMMUNICATIONS, LLC",47093005813,81,1,1,1,1,1.23,1.23,1.23,1.23,False,False,False,False,{43},False,False,False
1401,"Charter Communications, Inc.",47093005813,81,80,80,80,80,98.77,98.77,98.77,98.77,True,True,True,True,{43},False,False,False
1402,"BellSouth Telecommunications, Inc.",47093005905,29,15,15,15,15,51.72,51.72,51.72,51.72,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1403,UNITED STATES CELLULAR CORPORATION,47093005905,29,12,0,0,0,41.38,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1404,"Knology of Alabama, Inc.",47093005905,29,1,1,1,1,3.45,3.45,3.45,3.45,False,False,False,False,{50},False,False,False
1405,"COMCAST CABLE COMMUNICATIONS, LLC",47093005905,29,13,13,13,13,44.83,44.83,44.83,44.83,True,True,True,True,{43},False,False,False
1406,"Charter Communications, Inc.",47093005905,29,12,12,12,12,41.38,41.38,41.38,41.38,True,True,True,True,{43},False,False,False
1407,"BellSouth Telecommunications, Inc.",47093005908,79,67,67,61,58,84.81,84.81,77.22,73.42,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1408,UNITED STATES CELLULAR CORPORATION,47093005908,79,42,0,0,0,53.16,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1409,"Knology of Alabama, Inc.",47093005908,79,4,4,4,4,5.06,5.06,5.06,5.06,False,False,False,False,"{42, 50}",False,False,False
1410,Frontier Communications Corporation,47093005908,79,5,2,0,0,6.33,2.53,0.0,0.0,False,False,False,False,"{10, 11}",False,False,False
1411,"COMCAST CABLE COMMUNICATIONS, LLC",47093005908,79,59,59,59,59,74.68,74.68,74.68,74.68,True,True,True,True,{43},False,False,False
1412,"BellSouth Telecommunications, Inc.",47093006800,94,64,56,25,9,68.09,59.57,26.6,9.57,True,True,False,False,"{10, 11, 12, 50}",False,False,False
1413,UNITED STATES CELLULAR CORPORATION,47093006800,94,94,0,0,0,100.0,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1414,"Knology of Alabama, Inc.",47093006800,94,5,5,5,5,5.32,5.32,5.32,5.32,False,False,False,False,"{42, 50}",False,False,False
1415,"COMCAST CABLE COMMUNICATIONS, LLC",47093006800,94,47,47,47,47,50.0,50.0,50.0,50.0,True,True,True,True,{43},False,False,False
1416,"BellSouth Telecommunications, Inc.",47093006900,108,93,91,69,38,86.11,84.26,63.89,35.19,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1417,UNITED STATES CELLULAR CORPORATION,47093006900,108,108,0,0,0,100.0,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
1418,"Knology of Alabama, Inc.",47093006900,108,1,1,1,1,0.93,0.93,0.93,0.93,False,False,False,False,"{42, 50}",False,False,False
1419,"Hotwire Communications, Ltd.",47093006900,108,1,1,1,1,0.93,0.93,0.93,0.93,False,False,False,False,{50},False,False,False
1420,"COMCAST CABLE COMMUNICATIONS, LLC",47093006900,108,70,70,70,70,64.81,64.81,64.81,64.81,True,True,True,True,{43},False,False,False
1421,"BellSouth Telecommunications, Inc.",47097050504,73,61,57,50,39,83.56,78.08,68.49,53.42,True,True,True,True,"{10, 11, 12}",False,False,False
1422,"ECSIS.NET, LLC DBA Electronic Communication Systems",47097050504,73,73,73,73,0,100.0,100.0,100.0,0.0,True,True,True,False,{11},False,False,False
1423,"Aeneas Communications, LLC",47097050504,73,2,2,2,2,2.74,2.74,2.74,2.74,False,False,False,False,{50},False,False,False
1424,"Charter Communications, Inc.",47097050504,73,71,71,71,71,97.26,97.26,97.26,97.26,True,True,True,True,{43},False,False,False
1425,"BellSouth Telecommunications, Inc.",47103975400,302,150,144,126,80,49.67,47.68,41.72,26.49,True,True,True,False,"{10, 11, 12, 70}",False,False,False
1426,Mediacom Southeast LLC,47103975400,302,31,31,31,31,10.26,10.26,10.26,10.26,False,False,False,False,"{42, 43}",False,False,False
1427,Monster Broadband,47103975400,302,274,273,273,273,90.73,90.4,90.4,90.4,True,True,True,True,{70},False,False,False
1428,Fayetteville Public Utilities,47103975400,302,1,1,1,1,0.33,0.33,0.33,0.33,False,False,False,False,{42},False,False,False
1429,America Internet & Communications,47103975400,302,1,1,1,1,0.33,0.33,0.33,0.33,False,False,False,False,{70},False,False,False
1430,"COMCAST CABLE COMMUNICATIONS, LLC",47103975400,302,2,2,2,2,0.66,0.66,0.66,0.66,False,False,False,False,{43},False,False,False
1431,"Charter Communications, Inc.",47103975400,302,231,231,231,231,76.49,76.49,76.49,76.49,True,True,True,True,{43},False,False,False
1432,"BellSouth Telecommunications, Inc.",47105060202,397,333,330,313,212,83.88,83.12,78.84,53.4,True,True,True,True,"{10, 11, 12, 50}",False,False,False
1433,UNITED STATES CELLULAR CORPORATION,47105060202,397,24,0,0,0,6.05,0.0,0.0,0.0,False,False,False,False,{70},False,False,False
