,TractCode,ProviderName,CountBlocks,TechCode,Business,Proportion Served,Substantially Served
79,47001021202,"NuVox, Inc.",171,30,2,1.17,False
80,47001021202,"Spectrotel, Inc.",171,40,1,0.58,False
81,47001021202,"Spectrotel, Inc.",171,50,1,0.58,False
82,47001021301,"COMCAST CABLE COMMUNICATIONS, LLC",97,43,76,78.35,True
83,47001021301,"EarthLink Business, LLC",97,10,1,1.03,False
84,47001021302,"COMCAST CABLE COMMUNICATIONS, LLC",158,43,114,72.15,True
85,47001021302,Frontier Communications Corporation,158,10,122,77.22,True
86,47001021302,Frontier Communications Corporation,158,11,121,76.58,True
87,47001021302,Frontier Communications Corporation,158,12,112,70.89,True
88,47001021302,Frontier Communications Corporation,158,50,2,1.27,False
89,47001980100,"Birch Communications, Inc.",73,10,1,1.37,False
90,47001980100,"COMCAST CABLE COMMUNICATIONS, LLC",73,43,10,13.7,False
91,47001980100,"EarthLink Business, LLC",73,10,3,4.11,False
92,47001980100,"EarthLink Business, LLC",73,30,1,1.37,False
93,47001980100,MCI Communications Corporation,73,30,2,2.74,False
94,47001980100,"NuVox, Inc.",73,30,2,2.74,False
95,47001980100,"NuVox, Inc.",73,50,1,1.37,False
96,47003950100,"Ben Lomand Rural Telephone Coop., Inc.",244,10,25,10.25,False
97,47003950100,"Ben Lomand Rural Telephone Coop., Inc.",244,50,7,2.87,False
98,47003950100,"COMCAST CABLE COMMUNICATIONS, LLC",244,43,4,1.64,False
99,47003950100,"Charter Communications, Inc.",244,43,151,61.89,True
100,47003950100,"Charter Communications, Inc.",244,50,1,0.41,False
101,47003950100,US LEC LLC,244,11,2,0.82,False
102,47003950100,"United Communications, Inc.",244,50,14,5.74,False
103,47003950100,"United Communications, Inc.",244,70,151,61.89,True
104,47003950100,United Telephone Company,244,11,73,29.92,True
105,47003950100,"XO Communications Services, LLC",244,30,1,0.41,False
106,47003950200,"COMCAST CABLE COMMUNICATIONS, LLC",313,43,5,1.6,False
107,47003950200,"Charter Communications, Inc.",313,43,14,4.47,False
108,47003950200,"United Communications, Inc.",313,70,231,73.8,True
109,47003950200,United Telephone Company,313,11,300,95.85,True
110,47003950200,United Telephone Company,313,12,30,9.58,False
111,47003950200,United Telephone Company,313,50,21,6.71,False
112,47003950300,"COMCAST CABLE COMMUNICATIONS, LLC",193,43,1,0.52,False
113,47003950300,"Charter Communications, Inc.",193,43,74,38.34,True
114,47003950300,Monster Broadband,193,70,2,1.04,False
115,47003950300,"United Communications, Inc.",193,70,89,46.11,True
116,47003950300,United Telephone Company,193,11,59,30.57,True
117,47003950300,United Telephone Company,193,50,2,1.04,False
118,47003950401,"Aeneas Communications, LLC",166,50,1,0.6,False
119,47003950401,"Charter Communications, Inc.",166,43,153,92.17,True
120,47003950401,"Charter Communications, Inc.",166,50,2,1.2,False
121,47003950401,"Level  3 Communications, LLC",166,50,1,0.6,False
122,47003950401,Monster Broadband,166,70,3,1.81,False
123,47003950401,"NuVox, Inc.",166,50,1,0.6,False
124,47003950401,"United Communications, Inc.",166,70,95,57.23,True
125,47003950402,"Birch Communications, Inc.",243,10,4,1.65,False
126,47003950402,"Birch Communications, Inc.",243,30,2,0.82,False
127,47003950402,"Charter Communications, Inc.",243,43,198,81.48,True
128,47003950402,"Charter Communications, Inc.",243,50,2,0.82,False
129,47003950402,"NuVox, Inc.",243,30,3,1.23,False
130,47003950402,"Spectrotel, Inc.",243,50,1,0.41,False
131,47003950402,"United Communications, Inc.",243,70,214,88.07,True
132,47003950402,United Telephone Company,243,11,7,2.88,False
133,47003950500,"Birch Communications, Inc.",227,10,2,0.88,False
134,47003950500,"Birch Communications, Inc.",227,30,4,1.76,False
135,47003950500,"COMCAST CABLE COMMUNICATIONS, LLC",227,43,1,0.44,False
136,47003950500,"Charter Communications, Inc.",227,43,219,96.48,True
137,47003950500,"EarthLink Business, LLC",227,10,2,0.88,False
138,47003950500,"EarthLink Business, LLC",227,30,1,0.44,False
139,47003950500,"EarthLink Business, LLC",227,40,1,0.44,False
140,47003950500,"Level  3 Communications, LLC",227,30,1,0.44,False
141,47003950500,"Level  3 Communications, LLC",227,50,1,0.44,False
142,47003950500,"NuVox, Inc.",227,30,1,0.44,False
143,47003950500,US LEC LLC,227,11,2,0.88,False
144,47003950500,"United Communications, Inc.",227,70,160,70.48,True
145,47003950600,"Birch Communications, Inc.",230,10,1,0.43,False
146,47003950600,"Birch Communications, Inc.",230,30,1,0.43,False
147,47003950600,"Charter Communications, Inc.",230,43,220,95.65,True
148,47003950600,"Charter Communications, Inc.",230,50,1,0.43,False
149,47003950600,Monster Broadband,230,70,3,1.3,False
150,47003950600,"NuVox, Inc.",230,30,1,0.43,False
151,47003950600,"NuVox, Inc.",230,50,1,0.43,False
152,47003950600,"United Communications, Inc.",230,70,159,69.13,True
153,47003950700,"Ben Lomand Rural Telephone Coop., Inc.",249,10,1,0.4,False
154,47003950700,"Birch Communications, Inc.",249,10,1,0.4,False
155,47003950700,"Charter Communications, Inc.",249,43,74,29.72,True
156,47003950700,"Charter Communications, Inc.",249,50,1,0.4,False
157,47003950700,"United Communications, Inc.",249,70,232,93.17,True
158,47003950800,"Charter Communications, Inc.",260,43,33,12.69,False
159,47003950800,Monster Broadband,260,70,56,21.54,True
160,47003950800,"United Communications, Inc.",260,70,127,48.85,True
161,47003950800,United Telephone Company,260,11,150,57.69,True
162,47003950800,United Telephone Company,260,12,40,15.38,True
163,47005963000,Benton County Cable,137,42,101,73.72,True
164,47005963000,Benton County Cable,137,70,101,73.72,True
165,47005963100,Benton County Cable,121,42,86,71.07,True
166,47005963100,Benton County Cable,121,70,86,71.07,True
167,47005963100,"COMCAST CABLE COMMUNICATIONS, LLC",121,43,1,0.83,False
168,47005963100,"Charter Communications, Inc.",121,43,6,4.96,False
169,47005963200,"Aeneas Communications, LLC",124,30,2,1.61,False
170,47005963200,Benton County Cable,124,42,4,3.23,False
171,47005963200,Benton County Cable,124,70,4,3.23,False
172,47005963200,MCI Communications Corporation,124,30,1,0.81,False
173,47005963300,"Aeneas Communications, LLC",231,11,7,3.03,False
174,47005963300,Benton County Cable,231,42,5,2.16,False
175,47005963300,Benton County Cable,231,70,5,2.16,False
176,47005963300,"Birch Communications, Inc.",231,10,1,0.43,False
177,47005963300,"Charter Communications, Inc.",231,43,231,100.0,True
178,47005963300,"Charter Communications, Inc.",231,50,3,1.3,False
179,47005963400,"Aeneas Communications, LLC",273,11,1,0.37,False
180,47005963400,"Aeneas Communications, LLC",273,30,2,0.73,False
181,47005963400,Benton County Cable,273,42,77,28.21,True
182,47005963400,Benton County Cable,273,70,77,28.21,True
183,47005963400,"COMCAST CABLE COMMUNICATIONS, LLC",273,43,1,0.37,False
184,47005963400,"Charter Communications, Inc.",273,43,139,50.92,True
185,47005963400,"Charter Communications, Inc.",273,50,3,1.1,False
186,47005963400,"EarthLink Business, LLC",273,10,1,0.37,False
187,47005963400,TDS TELECOMMUNICATIONS LLC,273,10,1,0.37,False
188,47007953000,Bledsoe Telephone Cooperative Inc,259,11,257,99.23,True
189,47007953000,Bledsoe Telephone Cooperative Inc,259,50,79,30.5,True
190,47007953000,EPB Fiber Optics,259,50,2,0.77,False
191,47007953100,Bledsoe Telephone Cooperative Inc,618,11,618,100.0,True
192,47007953100,Bledsoe Telephone Cooperative Inc,618,50,278,44.98,True
193,47007953100,"COMCAST CABLE COMMUNICATIONS, LLC",618,43,1,0.16,False
194,47007953100,EPB Fiber Optics,618,50,2,0.32,False
195,47007953100,Frontier Communications Corporation,618,10,1,0.16,False
196,47007953100,Frontier Communications Corporation,618,11,1,0.16,False
197,47007953100,Frontier Communications Corporation,618,12,1,0.16,False
198,47007953100,LasVegas.Net,618,70,1,0.16,False
199,47007953100,"Level  3 Communications, LLC",618,30,1,0.16,False
200,47007953200,Bledsoe Telephone Cooperative Inc,294,11,294,100.0,True
201,47007953200,Bledsoe Telephone Cooperative Inc,294,50,30,10.2,False
202,47007953200,Frontier Communications Corporation,294,10,2,0.68,False
203,47007953200,"Level  3 Communications, LLC",294,30,1,0.34,False
204,47009010100,"Birch Communications, Inc.",189,10,1,0.53,False
205,47009010100,BreezeAir Networks LLC,189,70,97,51.32,True
206,47009010100,"Charter Communications, Inc.",189,43,189,100.0,True
207,47009010100,"Charter Communications, Inc.",189,50,3,1.59,False
208,47009010100,"EarthLink Business, LLC",189,10,3,1.59,False
209,47009010100,"NuVox, Inc.",189,30,4,2.12,False
210,47009010100,"Spectrotel, Inc.",189,50,1,0.53,False
211,47009010100,"XO Communications Services, LLC",189,30,1,0.53,False
212,47009010200,BreezeAir Networks LLC,274,70,10,3.65,False
213,47009010200,"COMCAST CABLE COMMUNICATIONS, LLC",274,42,1,0.36,False
214,47009010200,"Charter Communications, Inc.",274,43,272,99.27,True
215,47009010200,"Charter Communications, Inc.",274,50,6,2.19,False
216,47009010200,"EarthLink Business, LLC",274,10,1,0.36,False
217,47009010200,"EarthLink Business, LLC",274,30,1,0.36,False
218,47009010200,"Level  3 Communications, LLC",274,30,1,0.36,False
219,47009010200,MCI Communications Corporation,274,30,1,0.36,False
220,47009010200,"Net Liquidations, Inc.",274,70,12,4.38,False
221,47009010200,"NuVox, Inc.",274,30,3,1.09,False
222,47009010200,"NuVox, Inc.",274,50,1,0.36,False
223,47009010200,US LEC LLC,274,11,2,0.73,False
224,47009010200,US LEC LLC,274,50,2,0.73,False
225,47009010301,"COMCAST CABLE COMMUNICATIONS, LLC",249,43,13,5.22,False
226,47009010301,"Charter Communications, Inc.",249,43,239,95.98,True
227,47009010301,"Charter Communications, Inc.",249,50,9,3.61,False
228,47009010301,"EarthLink Business, LLC",249,10,1,0.4,False
229,47009010301,"EarthLink Business, LLC",249,50,1,0.4,False
230,47009010301,MCI Communications Corporation,249,30,2,0.8,False
231,47009010301,"Net Liquidations, Inc.",249,70,8,3.21,False
232,47009010301,"NuVox, Inc.",249,30,2,0.8,False
233,47009010301,US LEC LLC,249,11,2,0.8,False
234,47009010301,US LEC LLC,249,50,2,0.8,False
235,47009010301,"XO Communications Services, LLC",249,30,2,0.8,False
236,47009010302,"Broadview Networks Holdings, Inc.",377,30,1,0.27,False
237,47009010302,"COMCAST CABLE COMMUNICATIONS, LLC",377,42,1,0.27,False
238,47009010302,"Charter Communications, Inc.",377,43,368,97.61,True
239,47009010302,"Charter Communications, Inc.",377,50,11,2.92,False
240,47009010302,"EarthLink Business, LLC",377,10,5,1.33,False
241,47009010302,"EarthLink Business, LLC",377,50,2,0.53,False
242,47009010302,"Level  3 Communications, LLC",377,30,1,0.27,False
243,47009010302,MCI Communications Corporation,377,30,3,0.8,False
244,47009010302,"NuVox, Inc.",377,30,1,0.27,False
245,47009010302,"TailWind Voice & Data, Inc.",377,40,1,0.27,False
246,47009010400,"COMCAST CABLE COMMUNICATIONS, LLC",249,43,56,22.49,True
247,47009010400,"Charter Communications, Inc.",249,43,152,61.04,True
248,47009010400,"Charter Communications, Inc.",249,50,5,2.01,False
249,47009010400,"EarthLink Business, LLC",249,50,1,0.4,False
250,47009010400,"Net Liquidations, Inc.",249,70,221,88.76,True
251,47009010400,"NuVox, Inc.",249,30,2,0.8,False
252,47009010400,US LEC LLC,249,11,2,0.8,False
253,47009010500,"Birch Communications, Inc.",127,10,1,0.79,False
254,47009010500,"Birch Communications, Inc.",127,30,1,0.79,False
255,47009010500,BreezeAir Networks LLC,127,70,116,91.34,True
256,47009010500,"COMCAST CABLE COMMUNICATIONS, LLC",127,43,1,0.79,False
257,47009010500,"Charter Communications, Inc.",127,43,127,100.0,True
258,47009010500,"Charter Communications, Inc.",127,50,14,11.02,False
259,47009010500,"EarthLink Business, LLC",127,10,3,2.36,False
260,47009010500,"EarthLink Business, LLC",127,30,1,0.79,False
261,47009010500,"NuVox, Inc.",127,30,1,0.79,False
262,47009010500,US LEC LLC,127,11,2,1.57,False
263,47009010600,BreezeAir Networks LLC,127,70,44,34.65,True
264,47009010600,"COMCAST CABLE COMMUNICATIONS, LLC",127,43,3,2.36,False
265,47009010600,"Charter Communications, Inc.",127,43,127,100.0,True
266,47009010600,"Charter Communications, Inc.",127,50,12,9.45,False
267,47009010600,"EarthLink Business, LLC",127,10,1,0.79,False
268,47009010600,"NuVox, Inc.",127,30,4,3.15,False
269,47009010600,US LEC LLC,127,50,4,3.15,False
270,47009010700,"Birch Communications, Inc.",104,30,1,0.96,False
271,47009010700,BreezeAir Networks LLC,104,70,17,16.35,True
272,47009010700,"COMCAST CABLE COMMUNICATIONS, LLC",104,43,1,0.96,False
273,47009010700,"Charter Communications, Inc.",104,43,104,100.0,True
274,47009010700,"Charter Communications, Inc.",104,50,1,0.96,False
275,47009010700,"EarthLink Business, LLC",104,10,2,1.92,False
276,47009010700,"EarthLink Business, LLC",104,30,2,1.92,False
277,47009010700,"EarthLink Business, LLC",104,50,1,0.96,False
278,47009010700,MCI Communications Corporation,104,30,1,0.96,False
279,47009010700,"Net Liquidations, Inc.",104,70,2,1.92,False
280,47009010700,"NuVox, Inc.",104,30,1,0.96,False
281,47009010800,BreezeAir Networks LLC,110,70,24,21.82,True
282,47009010800,"Charter Communications, Inc.",110,43,110,100.0,True
283,47009010800,"Charter Communications, Inc.",110,50,2,1.82,False
284,47009010800,"EarthLink Business, LLC",110,30,1,0.91,False
285,47009010800,MCI Communications Corporation,110,30,1,0.91,False
286,47009010800,"Net Liquidations, Inc.",110,70,40,36.36,True
287,47009010900,"COMCAST CABLE COMMUNICATIONS, LLC",137,43,1,0.73,False
288,47009010900,"Charter Communications, Inc.",137,43,133,97.08,True
289,47009010900,"Charter Communications, Inc.",137,50,1,0.73,False
290,47009010900,"Net Liquidations, Inc.",137,70,132,96.35,True
291,47009011001,"COMCAST CABLE COMMUNICATIONS, LLC",135,43,5,3.7,False
292,47009011001,"Charter Communications, Inc.",135,43,135,100.0,True
293,47009011001,"Charter Communications, Inc.",135,50,4,2.96,False
294,47009011001,"Net Liquidations, Inc.",135,70,10,7.41,False
295,47009011001,"NuVox, Inc.",135,30,3,2.22,False
296,47009011001,"NuVox, Inc.",135,50,1,0.74,False
297,47009011002,"Charter Communications, Inc.",78,43,78,100.0,True
298,47009011002,"Charter Communications, Inc.",78,50,1,1.28,False
299,47009011002,"Net Liquidations, Inc.",78,70,9,11.54,False
300,47009011101,"COMCAST CABLE COMMUNICATIONS, LLC",95,43,2,2.11,False
301,47009011101,"Charter Communications, Inc.",95,43,94,98.95,True
302,47009011102,"COMCAST CABLE COMMUNICATIONS, LLC",143,42,1,0.7,False
303,47009011102,"COMCAST CABLE COMMUNICATIONS, LLC",143,43,2,1.4,False
304,47009011102,"Charter Communications, Inc.",143,43,143,100.0,True
305,47009011102,"Charter Communications, Inc.",143,50,1,0.7,False
306,47009011102,"NuVox, Inc.",143,30,1,0.7,False
307,47009011102,US LEC LLC,143,11,2,1.4,False
308,47009011200,BreezeAir Networks LLC,367,70,75,20.44,True
309,47009011200,"COMCAST CABLE COMMUNICATIONS, LLC",367,43,3,0.82,False
310,47009011200,"Charter Communications, Inc.",367,43,367,100.0,True
311,47009011200,"Charter Communications, Inc.",367,50,16,4.36,False
312,47009011200,"EarthLink Business, LLC",367,10,8,2.18,False
313,47009011200,"EarthLink Business, LLC",367,30,1,0.27,False
314,47009011200,"EarthLink Business, LLC",367,50,1,0.27,False
315,47009011200,"Level  3 Communications, LLC",367,30,1,0.27,False
316,47009011200,MCI Communications Corporation,367,30,1,0.27,False
317,47009011200,"NuVox, Inc.",367,30,3,0.82,False
318,47009011200,"TailWind Voice & Data, Inc.",367,40,1,0.27,False
319,47009011200,US LEC LLC,367,11,2,0.54,False
320,47009011301,"Charter Communications, Inc.",140,43,133,95.0,True
321,47009011301,"EarthLink Carrier, LLC",140,30,1,0.71,False
322,47009011301,"Net Liquidations, Inc.",140,70,140,100.0,True
323,47009011301,"NuVox, Inc.",140,30,1,0.71,False
324,47009011301,US LEC LLC,140,11,2,1.43,False
325,47009011301,"XO Communications Services, LLC",140,30,1,0.71,False
326,47009011302,"COMCAST CABLE COMMUNICATIONS, LLC",142,42,3,2.11,False
327,47009011302,"COMCAST CABLE COMMUNICATIONS, LLC",142,43,2,1.41,False
328,47009011302,"Charter Communications, Inc.",142,43,94,66.2,True
329,47009011302,"EarthLink Business, LLC",142,10,1,0.7,False
330,47009011302,"Net Liquidations, Inc.",142,70,136,95.77,True
331,47009011401,"COMCAST CABLE COMMUNICATIONS, LLC",164,42,90,54.88,True
332,47009011401,"COMCAST CABLE COMMUNICATIONS, LLC",164,43,2,1.22,False
333,47009011401,"Charter Communications, Inc.",164,43,4,2.44,False
334,47009011401,"Net Liquidations, Inc.",164,70,1,0.61,False
335,47009011402,BreezeAir Networks LLC,237,70,42,17.72,True
336,47009011402,"COMCAST CABLE COMMUNICATIONS, LLC",237,42,90,37.97,True
337,47009011402,"COMCAST CABLE COMMUNICATIONS, LLC",237,43,1,0.42,False
338,47009011402,"Charter Communications, Inc.",237,43,61,25.74,True
339,47009011402,"NuVox, Inc.",237,30,1,0.42,False
340,47009011501,BreezeAir Networks LLC,154,70,98,63.64,True
341,47009011501,"COMCAST CABLE COMMUNICATIONS, LLC",154,43,1,0.65,False
342,47009011501,"Charter Communications, Inc.",154,43,19,12.34,False
343,47009011502,"COMCAST CABLE COMMUNICATIONS, LLC",77,43,51,66.23,True
344,47009011503,"COMCAST CABLE COMMUNICATIONS, LLC",176,43,37,21.02,True
345,47009011503,"Charter Communications, Inc.",176,43,118,67.05,True
346,47009011503,"EarthLink Business, LLC",176,10,1,0.57,False
347,47009011602,BreezeAir Networks LLC,180,70,46,25.56,True
348,47009011602,"COMCAST CABLE COMMUNICATIONS, LLC",180,43,97,53.89,True
349,47009011602,"Charter Communications, Inc.",180,43,95,52.78,True
350,47009011602,"Charter Communications, Inc.",180,50,1,0.56,False
351,47009011602,"EarthLink Business, LLC",180,10,1,0.56,False
352,47009011602,"EarthLink Business, LLC",180,30,1,0.56,False
353,47009011602,"Level  3 Communications, LLC",180,30,1,0.56,False
354,47009011603,"Birch Communications, Inc.",225,10,1,0.44,False
355,47009011603,BreezeAir Networks LLC,225,70,81,36.0,True
356,47009011603,"COMCAST CABLE COMMUNICATIONS, LLC",225,43,116,51.56,True
357,47009011603,"Charter Communications, Inc.",225,43,30,13.33,False
358,47009011603,"Charter Communications, Inc.",225,50,3,1.33,False
359,47009011603,MCI Communications Corporation,225,30,1,0.44,False
360,47009011604,"COMCAST CABLE COMMUNICATIONS, LLC",131,43,42,32.06,True
361,47009011604,"Charter Communications, Inc.",131,43,86,65.65,True
362,47009011604,"Charter Communications, Inc.",131,50,1,0.76,False
363,47009011605,BreezeAir Networks LLC,116,70,1,0.86,False
364,47009011605,"COMCAST CABLE COMMUNICATIONS, LLC",116,43,55,47.41,True
365,47009011605,"Charter Communications, Inc.",116,43,37,31.9,True
366,47009011605,"EarthLink Business, LLC",116,10,1,0.86,False
367,47009980100,BreezeAir Networks LLC,50,70,1,2.0,False
368,47009980100,"Charter Communications, Inc.",50,43,50,100.0,True
369,47009980100,"Charter Communications, Inc.",50,50,5,10.0,False
370,47009980100,"Level  3 Communications, LLC",50,30,3,6.0,False
371,47009980100,US LEC LLC,50,50,2,4.0,False
372,47009980200,BreezeAir Networks LLC,70,70,14,20.0,True
373,47011010100,America Internet & Communications,186,70,2,1.08,False
374,47011010100,"Birch Communications, Inc.",186,30,1,0.54,False
375,47011010100,"Charter Communications, Inc.",186,43,186,100.0,True
376,47011010100,"Charter Communications, Inc.",186,50,6,3.23,False
377,47011010100,EPB Fiber Optics,186,50,6,3.23,False
378,47011010100,"EarthLink Business, LLC",186,10,3,1.61,False
379,47011010100,"EarthLink Business, LLC",186,30,3,1.61,False
380,47011010100,"Level  3 Communications, LLC",186,30,1,0.54,False
381,47011010100,MCI Communications Corporation,186,30,2,1.08,False
382,47011010100,"Spectrotel, Inc.",186,30,1,0.54,False
383,47011010100,US LEC LLC,186,11,4,2.15,False
384,47011010200,"Birch Communications, Inc.",149,10,1,0.67,False
385,47011010200,CBTS Technology Solutions LLC,149,50,1,0.67,False
386,47011010200,"Charter Communications, Inc.",149,43,149,100.0,True
387,47011010200,"Charter Communications, Inc.",149,50,6,4.03,False
388,47011010200,EPB Fiber Optics,149,50,5,3.36,False
389,47011010200,"EarthLink Business, LLC",149,10,1,0.67,False
390,47011010200,MCI Communications Corporation,149,30,1,0.67,False
391,47011010200,"NuVox, Inc.",149,30,1,0.67,False
392,47011010200,US LEC LLC,149,11,2,1.34,False
393,47011010300,"COMCAST CABLE COMMUNICATIONS, LLC",83,43,1,1.2,False
394,47011010300,"Charter Communications, Inc.",83,43,83,100.0,True
395,47011010300,"Charter Communications, Inc.",83,50,1,1.2,False
396,47011010300,EPB Fiber Optics,83,50,1,1.2,False
397,47011010300,"EarthLink Business, LLC",83,30,1,1.2,False
398,47011010300,"EarthLink Business, LLC",83,50,1,1.2,False
399,47011010300,US LEC LLC,83,11,4,4.82,False
400,47011010400,"Charter Communications, Inc.",115,43,114,99.13,True
401,47011010400,"Charter Communications, Inc.",115,50,4,3.48,False
402,47011010400,"EarthLink Business, LLC",115,50,1,0.87,False
403,47011010500,"Charter Communications, Inc.",176,43,176,100.0,True
404,47011010500,"Charter Communications, Inc.",176,50,12,6.82,False
405,47011010500,EPB Fiber Optics,176,50,7,3.98,False
406,47011010500,"EarthLink Business, LLC",176,50,2,1.14,False
407,47011010500,MCI Communications Corporation,176,30,1,0.57,False
408,47011010500,"NuVox, Inc.",176,30,1,0.57,False
409,47011010600,"Birch Communications, Inc.",139,10,1,0.72,False
410,47011010600,"COMCAST CABLE COMMUNICATIONS, LLC",139,43,1,0.72,False
411,47011010600,"Charter Communications, Inc.",139,43,139,100.0,True
412,47011010600,"Charter Communications, Inc.",139,50,4,2.88,False
413,47011010600,EPB Fiber Optics,139,50,7,5.04,False
414,47011010600,"EarthLink Business, LLC",139,10,3,2.16,False
415,47011010600,"Level  3 Communications, LLC",139,30,1,0.72,False
416,47011010700,America Internet & Communications,186,70,1,0.54,False
417,47011010700,"Birch Communications, Inc.",186,30,1,0.54,False
