,ProviderName,TractCode,CountBlocks,Consumer Blocks Served,Consumer Blocks Served - 3mbps,Consumer Blocks Served - 12mbps,Consumer Blocks Served - 25mbps,Proportion Served,Proportion Served 3mbps,Proportion Served 12mbps,Proportion Served 25mbps,Substantially Served,Substantially Served 3mbps,Substantially Served 12mbps,Substantially Served 25mbps,TechCodes Set
1176,"BellSouth Telecommunications, Inc.",47037015401,66,61,60,60,60,92.42,90.91,90.91,90.91,True,True,True,True,"{10, 11, 12, 50}"
1177,"COMCAST CABLE COMMUNICATIONS, LLC",47037015401,66,63,63,63,63,95.45,95.45,95.45,95.45,True,True,True,True,{43}
1178,"BellSouth Telecommunications, Inc.",47037015610,52,43,43,39,36,82.69,82.69,75.0,69.23,True,True,True,True,"{10, 11, 12, 50}"
1179,"COMCAST CABLE COMMUNICATIONS, LLC",47037015610,52,43,43,43,43,82.69,82.69,82.69,82.69,True,True,True,True,{43}
1180,"BellSouth Telecommunications, Inc.",47037015615,29,28,28,28,28,96.55,96.55,96.55,96.55,True,True,True,True,"{10, 11, 12, 50}"
1181,"COMCAST CABLE COMMUNICATIONS, LLC",47037015615,29,27,27,27,27,93.1,93.1,93.1,93.1,True,True,True,True,{43}
1182,"BellSouth Telecommunications, Inc.",47037015628,11,11,11,11,5,100.0,100.0,100.0,45.45,True,True,True,True,"{10, 11, 12, 50}"
1183,"COMCAST CABLE COMMUNICATIONS, LLC",47037015628,11,5,5,5,5,45.45,45.45,45.45,45.45,True,True,True,True,{43}
1184,"BellSouth Telecommunications, Inc.",47037015802,46,46,46,43,29,100.0,100.0,93.48,63.04,True,True,True,True,"{10, 11, 12, 50}"
1185,"COMCAST CABLE COMMUNICATIONS, LLC",47037015802,46,40,40,40,40,86.96,86.96,86.96,86.96,True,True,True,True,{43}
1186,"Google Fiber Tennessee, LLC",47037016300,69,11,11,11,11,15.94,15.94,15.94,15.94,True,True,True,True,{50}
1187,"BellSouth Telecommunications, Inc.",47037016300,69,68,67,62,57,98.55,97.1,89.86,82.61,True,True,True,True,"{10, 11, 12, 50}"
1188,"COMCAST CABLE COMMUNICATIONS, LLC",47037016300,69,61,61,61,61,88.41,88.41,88.41,88.41,True,True,True,True,{43}
1189,"BellSouth Telecommunications, Inc.",47037017100,52,49,49,49,48,94.23,94.23,94.23,92.31,True,True,True,True,"{10, 11, 12, 50}"
1190,"COMCAST CABLE COMMUNICATIONS, LLC",47037017100,52,41,41,41,41,78.85,78.85,78.85,78.85,True,True,True,True,{43}
1191,"BellSouth Telecommunications, Inc.",47037017901,86,68,66,66,65,79.07,76.74,76.74,75.58,True,True,True,True,"{10, 11, 12, 50}"
1192,"COMCAST CABLE COMMUNICATIONS, LLC",47037017901,86,66,66,66,66,76.74,76.74,76.74,76.74,True,True,True,True,{43}
1193,"Google Fiber Tennessee, LLC",47037017902,43,5,5,5,5,11.63,11.63,11.63,11.63,False,False,False,False,{50}
1194,"BellSouth Telecommunications, Inc.",47037017902,43,43,43,43,40,100.0,100.0,100.0,93.02,True,True,True,True,"{10, 11, 12, 50}"
1195,"COMCAST CABLE COMMUNICATIONS, LLC",47037017902,43,41,41,41,41,95.35,95.35,95.35,95.35,True,True,True,True,{43}
1196,"BellSouth Telecommunications, Inc.",47037018000,73,73,72,71,71,100.0,98.63,97.26,97.26,True,True,True,True,"{10, 11, 12, 50}"
1197,"COMCAST CABLE COMMUNICATIONS, LLC",47037018000,73,69,69,69,69,94.52,94.52,94.52,94.52,True,True,True,True,{43}
1198,"Google Fiber Tennessee, LLC",47037018101,48,15,15,15,15,31.25,31.25,31.25,31.25,True,True,True,True,{50}
1199,"BellSouth Telecommunications, Inc.",47037018101,48,48,47,47,46,100.0,97.92,97.92,95.83,True,True,True,True,"{10, 11, 12, 50}"
1200,"COMCAST CABLE COMMUNICATIONS, LLC",47037018101,48,40,40,40,40,83.33,83.33,83.33,83.33,True,True,True,True,{43}
1201,"BellSouth Telecommunications, Inc.",47037019003,25,24,24,23,21,96.0,96.0,92.0,84.0,True,True,True,True,"{10, 11, 12, 50}"
1202,"COMCAST CABLE COMMUNICATIONS, LLC",47037019003,25,22,22,22,22,88.0,88.0,88.0,88.0,True,True,True,True,{43}
1203,"BellSouth Telecommunications, Inc.",47037019118,16,16,16,16,16,100.0,100.0,100.0,100.0,True,True,True,True,"{10, 11, 12, 50}"
1204,United Telephone Company,47037019118,16,3,3,3,3,18.75,18.75,18.75,18.75,True,True,True,True,{11}
1205,"COMCAST CABLE COMMUNICATIONS, LLC",47037019118,16,16,16,16,16,100.0,100.0,100.0,100.0,True,True,True,True,{43}
1206,"Google Fiber Tennessee, LLC",47037019200,127,37,37,37,37,29.13,29.13,29.13,29.13,True,True,True,True,{50}
1207,"BellSouth Telecommunications, Inc.",47037019200,127,127,126,122,120,100.0,99.21,96.06,94.49,True,True,True,True,"{10, 11, 12, 50}"
1208,"COMCAST CABLE COMMUNICATIONS, LLC",47037019200,127,115,115,115,115,90.55,90.55,90.55,90.55,True,True,True,True,{43}
1209,DE KALB TELEPHONE COOPERATIVE INC,47041920200,264,264,264,264,264,100.0,100.0,100.0,100.0,True,True,True,True,"{11, 12}"
1210,"COMCAST CABLE COMMUNICATIONS, LLC",47041920200,264,227,227,227,227,85.98,85.98,85.98,85.98,True,True,True,True,{43}
1211,UNITED STATES CELLULAR CORPORATION,47041920300,365,4,0,0,0,1.1,0.0,0.0,0.0,False,False,False,False,{70}
1212,DE KALB TELEPHONE COOPERATIVE INC,47041920300,365,347,347,325,325,95.07,95.07,89.04,89.04,True,True,True,True,"{11, 12}"
1213,Twin Lakes Telephone Cooperative Corporation,47041920300,365,19,19,18,15,5.21,5.21,4.93,4.11,False,False,False,False,"{50, 11, 12}"
1214,"COMCAST CABLE COMMUNICATIONS, LLC",47041920300,365,18,18,18,18,4.93,4.93,4.93,4.93,False,False,False,False,{43}
1215,"Charter Communications, Inc.",47041920300,365,138,138,138,138,37.81,37.81,37.81,37.81,True,True,True,True,{43}
1216,"BellSouth Telecommunications, Inc.",47043060401,123,100,100,89,78,81.3,81.3,72.36,63.41,True,True,True,True,"{70, 10, 11, 12, 50}"
1217,"COMCAST CABLE COMMUNICATIONS, LLC",47043060401,123,92,92,92,92,74.8,74.8,74.8,74.8,True,True,True,True,{43}
1218,"BellSouth Telecommunications, Inc.",47043060602,229,209,199,159,127,91.27,86.9,69.43,55.46,True,True,True,True,"{10, 11, 12, 70}"
1219,Benton County Cable,47043060602,229,1,1,1,1,0.44,0.44,0.44,0.44,False,False,False,False,"{42, 70}"
1220,Ultranet / LogOn,47043060602,229,1,1,0,0,0.44,0.44,0.0,0.0,False,False,False,False,{70}
1221,"COMCAST CABLE COMMUNICATIONS, LLC",47043060602,229,159,159,159,159,69.43,69.43,69.43,69.43,True,True,True,True,{43}
1222,"BellSouth Telecommunications, Inc.",47045964300,233,141,136,117,93,60.52,58.37,50.21,39.91,True,True,True,True,"{10, 11, 12}"
1223,"ECSIS.NET, LLC DBA Electronic Communication Systems",47045964300,233,233,233,233,0,100.0,100.0,100.0,0.0,True,True,True,False,"{11, 70}"
1224,"Cable One, Inc.",47045964300,233,132,132,132,132,56.65,56.65,56.65,56.65,True,True,True,True,{42}
1225,"Aeneas Communications, LLC",47045964300,233,9,8,1,1,3.86,3.43,0.43,0.43,False,False,False,False,"{50, 11, 30}"
1226,"BellSouth Telecommunications, Inc.",47045964400,266,169,155,106,72,63.53,58.27,39.85,27.07,True,True,True,True,"{10, 11, 12, 70}"
1227,"ECSIS.NET, LLC DBA Electronic Communication Systems",47045964400,266,266,266,266,0,100.0,100.0,100.0,0.0,True,True,True,False,"{11, 70}"
1228,"Cable One, Inc.",47045964400,266,178,178,178,178,66.92,66.92,66.92,66.92,True,True,True,True,{42}
1229,"Aeneas Communications, LLC",47045964400,266,8,5,0,0,3.01,1.88,0.0,0.0,False,False,False,False,"{11, 30}"
1230,"BellSouth Telecommunications, Inc.",47051960202,478,60,59,47,42,12.55,12.34,9.83,8.79,False,False,False,False,"{70, 10, 11, 12, 50}"
1231,Tullahoma Utilities Board,47051960202,478,20,20,20,20,4.18,4.18,4.18,4.18,False,False,False,False,{50}
1232,United Telephone Company,47051960202,478,279,277,206,206,58.37,57.95,43.1,43.1,True,True,True,True,"{11, 12}"
1233,Monster Broadband,47051960202,478,474,474,474,474,99.16,99.16,99.16,99.16,True,True,True,True,{70}
1234,"COMCAST CABLE COMMUNICATIONS, LLC",47051960202,478,140,140,140,140,29.29,29.29,29.29,29.29,True,True,True,True,{43}
1235,"Ben Lomand Rural Telephone Coop., Inc.",47051960202,478,7,7,7,7,1.46,1.46,1.46,1.46,False,False,False,False,"{50, 10}"
1236,"Charter Communications, Inc.",47051960202,478,76,76,76,76,15.9,15.9,15.9,15.9,True,True,True,True,{43}
1237,"BellSouth Telecommunications, Inc.",47055920400,260,136,131,76,59,52.31,50.38,29.23,22.69,True,True,True,True,"{10, 11, 12, 70}"
1238,Pulaski Electric System,47055920400,260,73,73,73,73,28.08,28.08,28.08,28.08,True,True,True,True,{50}
1239,Ardmore Telephone Company Inc,47055920400,260,3,3,0,0,1.15,1.15,0.0,0.0,False,False,False,False,{10}
1240,Monster Broadband,47055920400,260,248,248,248,248,95.38,95.38,95.38,95.38,True,True,True,True,{70}
1241,"Charter Communications, Inc.",47055920400,260,196,196,196,196,75.38,75.38,75.38,75.38,True,True,True,True,{43}
1242,"CenturyLink, Inc.",47059090100,297,251,248,139,67,84.51,83.5,46.8,22.56,True,True,True,True,"{10, 11, 12}"
1243,"COMCAST CABLE COMMUNICATIONS, LLC",47059090100,297,256,256,256,256,86.2,86.2,86.2,86.2,True,True,True,True,"{42, 43}"
1244,"CenturyLink, Inc.",47059091100,161,122,118,66,58,75.78,73.29,40.99,36.02,True,True,True,True,"{10, 11, 12}"
1245,"BellSouth Telecommunications, Inc.",47059091100,161,25,25,0,0,15.53,15.53,0.0,0.0,True,True,False,False,{70}
1246,UNITED STATES CELLULAR CORPORATION,47059091100,161,4,0,0,0,2.48,0.0,0.0,0.0,False,False,False,False,{70}
1247,"Net Liquidations, Inc.",47059091100,161,1,1,1,1,0.62,0.62,0.62,0.62,False,False,False,False,{70}
1248,"COMCAST CABLE COMMUNICATIONS, LLC",47059091100,161,119,119,119,119,73.91,73.91,73.91,73.91,True,True,True,True,"{42, 43}"
1249,"BellSouth Telecommunications, Inc.",47065001400,107,99,99,33,0,92.52,92.52,30.84,0.0,True,True,True,False,"{10, 11}"
1250,EPB Fiber Optics,47065001400,107,100,100,100,100,93.46,93.46,93.46,93.46,True,True,True,True,{50}
1251,"COMCAST CABLE COMMUNICATIONS, LLC",47065001400,107,92,92,92,92,85.98,85.98,85.98,85.98,True,True,True,True,{43}
1252,"BellSouth Telecommunications, Inc.",47065002000,169,107,107,75,18,63.31,63.31,44.38,10.65,True,True,True,False,"{10, 11, 50}"
1253,EPB Fiber Optics,47065002000,169,114,114,114,114,67.46,67.46,67.46,67.46,True,True,True,True,{50}
1254,"COMCAST CABLE COMMUNICATIONS, LLC",47065002000,169,86,86,86,86,50.89,50.89,50.89,50.89,True,True,True,True,{43}
1255,"BellSouth Telecommunications, Inc.",47065002300,105,86,34,4,0,81.9,32.38,3.81,0.0,True,True,False,False,"{10, 11}"
1256,EPB Fiber Optics,47065002300,105,98,98,98,98,93.33,93.33,93.33,93.33,True,True,True,True,{50}
1257,"COMCAST CABLE COMMUNICATIONS, LLC",47065002300,105,76,76,76,76,72.38,72.38,72.38,72.38,True,True,True,True,{43}
1258,"BellSouth Telecommunications, Inc.",47065002500,164,143,75,13,10,87.2,45.73,7.93,6.1,True,True,False,False,"{10, 11, 12}"
1259,EPB Fiber Optics,47065002500,164,143,143,143,143,87.2,87.2,87.2,87.2,True,True,True,True,{50}
1260,"COMCAST CABLE COMMUNICATIONS, LLC",47065002500,164,137,137,137,137,83.54,83.54,83.54,83.54,True,True,True,True,{43}
1261,"BellSouth Telecommunications, Inc.",47065002600,148,129,107,23,0,87.16,72.3,15.54,0.0,True,True,True,False,"{10, 11}"
1262,EPB Fiber Optics,47065002600,148,134,134,134,134,90.54,90.54,90.54,90.54,True,True,True,True,{50}
1263,"COMCAST CABLE COMMUNICATIONS, LLC",47065002600,148,117,117,117,117,79.05,79.05,79.05,79.05,True,True,True,True,{43}
1264,"BellSouth Telecommunications, Inc.",47065003400,77,60,59,54,25,77.92,76.62,70.13,32.47,True,True,True,True,"{10, 11, 12}"
1265,EPB Fiber Optics,47065003400,77,65,65,65,65,84.42,84.42,84.42,84.42,True,True,True,True,{50}
1266,"COMCAST CABLE COMMUNICATIONS, LLC",47065003400,77,58,58,58,58,75.32,75.32,75.32,75.32,True,True,True,True,{43}
1267,"BellSouth Telecommunications, Inc.",47065010431,90,74,74,67,63,82.22,82.22,74.44,70.0,True,True,True,True,"{10, 11, 12, 50}"
1268,EPB Fiber Optics,47065010431,90,81,81,81,81,90.0,90.0,90.0,90.0,True,True,True,True,{50}
1269,"COMCAST CABLE COMMUNICATIONS, LLC",47065010431,90,78,78,78,78,86.67,86.67,86.67,86.67,True,True,True,True,{43}
1270,"BellSouth Telecommunications, Inc.",47065010432,81,61,61,56,56,75.31,75.31,69.14,69.14,True,True,True,True,"{10, 11, 12, 50}"
1271,EPB Fiber Optics,47065010432,81,71,71,71,71,87.65,87.65,87.65,87.65,True,True,True,True,{50}
1272,"COMCAST CABLE COMMUNICATIONS, LLC",47065010432,81,56,56,56,56,69.14,69.14,69.14,69.14,True,True,True,True,{43}
1273,"BellSouth Telecommunications, Inc.",47065010901,48,17,7,6,0,35.42,14.58,12.5,0.0,True,False,False,False,"{10, 11}"
1274,America Internet & Communications,47065010901,48,1,1,1,1,2.08,2.08,2.08,2.08,False,False,False,False,{70}
1275,EPB Fiber Optics,47065010901,48,40,40,40,40,83.33,83.33,83.33,83.33,True,True,True,True,{50}
1276,"COMCAST CABLE COMMUNICATIONS, LLC",47065010901,48,22,22,22,22,45.83,45.83,45.83,45.83,True,True,True,True,{43}
1277,"BellSouth Telecommunications, Inc.",47065011002,140,94,91,77,75,67.14,65.0,55.0,53.57,True,True,True,True,"{10, 11, 12, 50}"
1278,Bledsoe Telephone Cooperative Inc,47065011002,140,4,4,0,0,2.86,2.86,0.0,0.0,False,False,False,False,{11}
1279,EPB Fiber Optics,47065011002,140,131,131,131,131,93.57,93.57,93.57,93.57,True,True,True,True,{50}
1280,"COMCAST CABLE COMMUNICATIONS, LLC",47065011002,140,120,120,120,120,85.71,85.71,85.71,85.71,True,True,True,True,{43}
1281,"CenturyLink, Inc.",47065011201,160,137,134,86,36,85.62,83.75,53.75,22.5,True,True,True,True,"{10, 50, 11, 12}"
1282,"BellSouth Telecommunications, Inc.",47065011201,160,3,3,3,1,1.88,1.88,1.88,0.62,False,False,False,False,"{11, 12}"
1283,America Internet & Communications,47065011201,160,1,1,1,1,0.62,0.62,0.62,0.62,False,False,False,False,{70}
1284,EPB Fiber Optics,47065011201,160,96,96,96,96,60.0,60.0,60.0,60.0,True,True,True,True,{50}
1285,"COMCAST CABLE COMMUNICATIONS, LLC",47065011201,160,120,120,120,120,75.0,75.0,75.0,75.0,True,True,True,True,{43}
1286,"Charter Communications, Inc.",47065011201,160,1,1,1,1,0.62,0.62,0.62,0.62,False,False,False,False,{43}
1287,"CenturyLink, Inc.",47065011203,60,47,47,16,4,78.33,78.33,26.67,6.67,True,True,True,False,"{50, 11, 12}"
1288,"BellSouth Telecommunications, Inc.",47065011203,60,8,8,7,7,13.33,13.33,11.67,11.67,False,False,False,False,"{10, 11, 12, 50}"
1289,EPB Fiber Optics,47065011203,60,50,50,50,50,83.33,83.33,83.33,83.33,True,True,True,True,{50}
1290,"COMCAST CABLE COMMUNICATIONS, LLC",47065011203,60,47,47,47,47,78.33,78.33,78.33,78.33,True,True,True,True,{43}
1291,"BellSouth Telecommunications, Inc.",47065011402,89,85,85,78,73,95.51,95.51,87.64,82.02,True,True,True,True,"{10, 11, 12}"
1292,EPB Fiber Optics,47065011402,89,86,86,86,86,96.63,96.63,96.63,96.63,True,True,True,True,{50}
1293,"COMCAST CABLE COMMUNICATIONS, LLC",47065011402,89,85,85,85,85,95.51,95.51,95.51,95.51,True,True,True,True,{43}
1294,"BellSouth Telecommunications, Inc.",47065011411,65,46,46,44,42,70.77,70.77,67.69,64.62,True,True,True,True,"{10, 11, 12, 50}"
1295,America Internet & Communications,47065011411,65,1,1,1,1,1.54,1.54,1.54,1.54,False,False,False,False,{70}
1296,EPB Fiber Optics,47065011411,65,62,62,62,62,95.38,95.38,95.38,95.38,True,True,True,True,{50}
1297,"COMCAST CABLE COMMUNICATIONS, LLC",47065011411,65,51,51,51,51,78.46,78.46,78.46,78.46,True,True,True,True,{43}
1298,"BellSouth Telecommunications, Inc.",47065011443,109,88,88,73,71,80.73,80.73,66.97,65.14,True,True,True,True,"{10, 11, 12, 50}"
1299,EPB Fiber Optics,47065011443,109,102,102,102,102,93.58,93.58,93.58,93.58,True,True,True,True,{50}
1300,"COMCAST CABLE COMMUNICATIONS, LLC",47065011443,109,89,89,89,89,81.65,81.65,81.65,81.65,True,True,True,True,{43}
1301,"BellSouth Telecommunications, Inc.",47065011444,57,52,51,41,40,91.23,89.47,71.93,70.18,True,True,True,True,"{10, 11, 12, 50}"
1302,America Internet & Communications,47065011444,57,1,1,1,1,1.75,1.75,1.75,1.75,False,False,False,False,{70}
1303,EPB Fiber Optics,47065011444,57,51,51,51,51,89.47,89.47,89.47,89.47,True,True,True,True,{50}
1304,"COMCAST CABLE COMMUNICATIONS, LLC",47065011444,57,48,48,48,48,84.21,84.21,84.21,84.21,True,True,True,True,{43}
1305,"BellSouth Telecommunications, Inc.",47065011600,130,97,83,42,42,74.62,63.85,32.31,32.31,True,True,True,True,"{10, 11, 12, 50}"
1306,EPB Fiber Optics,47065011600,130,106,106,106,106,81.54,81.54,81.54,81.54,True,True,True,True,{50}
1307,"COMCAST CABLE COMMUNICATIONS, LLC",47065011600,130,102,102,102,102,78.46,78.46,78.46,78.46,True,True,True,True,{43}
1308,"BellSouth Telecommunications, Inc.",47065012300,177,122,119,42,29,68.93,67.23,23.73,16.38,True,True,True,True,"{10, 11, 12, 50}"
1309,America Internet & Communications,47065012300,177,1,1,1,1,0.56,0.56,0.56,0.56,False,False,False,False,{70}
1310,EPB Fiber Optics,47065012300,177,173,173,173,173,97.74,97.74,97.74,97.74,True,True,True,True,{50}
1311,"COMCAST CABLE COMMUNICATIONS, LLC",47065012300,177,152,152,152,152,85.88,85.88,85.88,85.88,True,True,True,True,{43}
1312,"BellSouth Telecommunications, Inc.",47065980200,14,5,4,4,4,35.71,28.57,28.57,28.57,True,True,True,True,"{10, 11, 12}"
1313,EPB Fiber Optics,47065980200,14,11,11,11,11,78.57,78.57,78.57,78.57,True,True,True,True,{50}
1314,"COMCAST CABLE COMMUNICATIONS, LLC",47065980200,14,1,1,1,1,7.14,7.14,7.14,7.14,False,False,False,False,{43}
1315,"BellSouth Telecommunications, Inc.",47069950600,208,192,191,51,6,92.31,91.83,24.52,2.88,True,True,True,False,"{10, 11, 70}"
1316,Capshaw Enterprises,47069950600,208,20,11,0,0,9.62,5.29,0.0,0.0,False,False,False,False,{70}
1317,"COMCAST CABLE COMMUNICATIONS, LLC",47069950600,208,75,75,75,75,36.06,36.06,36.06,36.06,True,True,True,True,{43}
1318,"BellSouth Telecommunications, Inc.",47079969200,183,24,24,1,0,13.11,13.11,0.55,0.0,False,False,False,False,"{10, 11, 70}"
1319,Peoples Telephone Company,47079969200,183,1,1,0,0,0.55,0.55,0.0,0.0,False,False,False,False,{11}
1320,West Kentucky Rural Telephone Coop Corp Inc,47079969200,183,153,153,153,153,83.61,83.61,83.61,83.61,True,True,True,True,{50}
1321,BeaDun Communications,47079969200,183,1,0,0,0,0.55,0.0,0.0,0.0,False,False,False,False,{70}
